Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Occluded,On another road;Origin file;Origin frame number;Origin track;Origin track frame number
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545910.avi_image0.png;stop;862;104;916;158;0,0;aiua120214-0/DataLog02142012_external_camera.avi;2667;stop_1330545910.avi;2
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image0.png;stop;376;138;413;175;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3176;stop_1330545935.avi;2
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image1.png;stop;412;145;451;185;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3181;stop_1330545935.avi;7
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image2.png;stop;450;145;490;185;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3186;stop_1330545935.avi;12
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image3.png;stop;487;132;530;176;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3191;stop_1330545935.avi;17
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image4.png;stop;531;128;577;174;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3196;stop_1330545935.avi;22
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image5.png;stop;579;128;628;178;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3201;stop_1330545935.avi;27
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image5.png;pedestrianCrossing;5;193;25;213;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3201;stop_1330545935.avi;27
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image6.png;stop;634;122;687;176;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3206;stop_1330545935.avi;32
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image6.png;pedestrianCrossing;40;192;61;213;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3206;stop_1330545935.avi;32
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image7.png;stop;693;111;750;169;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3211;stop_1330545935.avi;37
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image7.png;pedestrianCrossing;75;186;98;208;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3211;stop_1330545935.avi;37
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image8.png;stop;757;102;818;164;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3216;stop_1330545935.avi;42
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image8.png;pedestrianCrossing;110;187;133;209;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3216;stop_1330545935.avi;42
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image9.png;stop;827;94;893;162;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3221;stop_1330545935.avi;47
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image9.png;pedestrianCrossing;144;190;167;212;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3221;stop_1330545935.avi;47
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image10.png;stop;903;81;976;155;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3226;stop_1330545935.avi;52
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image10.png;pedestrianCrossing;179;190;202;212;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3226;stop_1330545935.avi;52
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image11.png;pedestrianCrossing;208;184;232;207;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3231;stop_1330545935.avi;57
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330545935.avi_image12.png;pedestrianCrossing;231;179;255;202;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3236;stop_1330545935.avi;62
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image0.png;pedestrianCrossing;300;193;326;219;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3255;pedestrianCrossing_1330545944.avi;2
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image1.png;pedestrianCrossing;320;183;347;210;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3262;pedestrianCrossing_1330545944.avi;9
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image2.png;pedestrianCrossing;338;175;367;203;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3269;pedestrianCrossing_1330545944.avi;16
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image3.png;pedestrianCrossing;355;179;384;207;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3276;pedestrianCrossing_1330545944.avi;23
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image4.png;pedestrianCrossing;364;179;393;208;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3283;pedestrianCrossing_1330545944.avi;30
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image5.png;pedestrianCrossing;367;175;396;204;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3290;pedestrianCrossing_1330545944.avi;37
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image6.png;pedestrianCrossing;372;181;401;210;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3297;pedestrianCrossing_1330545944.avi;44
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image7.png;pedestrianCrossing;373;181;402;210;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3304;pedestrianCrossing_1330545944.avi;51
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image8.png;pedestrianCrossing;373;187;402;216;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3311;pedestrianCrossing_1330545944.avi;58
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/pedestrianCrossing_1330545944.avi_image9.png;pedestrianCrossing;373;188;402;217;0,0;aiua120214-0/DataLog02142012_external_camera.avi;3318;pedestrianCrossing_1330545944.avi;65
